id	text	title
39	Interlibrary loan (abbreviated ILL, and sometimes called interloan, document delivery, or document supply) is a service whereby a user of one library can borrow books or receive photocopies of documents that are owned by another library.	Interlibrary loan
40	The user makes a request with their local library, which, acting as an intermediary, identifies owners of the desired item, places the request, receives the item, makes it available to the user, and arranges for its return.	Interlibrary loan
41	"Mariel Margaret ""Mia"" Hamm (born March 17, 1972) is a retired American professional soccer player."	Mia Hamm
42	MacConkey agar is a culture medium designed to grow Gram-negative bacteria and differentiate them for lactose fermentation .	MacConkey agar
43	This is the predominant form of Buddhism practiced in China, South Korea, Japan, Taiwan, Singapore, and Vietnam.	Buddhism by country
44	He was shot and killed while playing poker in the Nuttal & Mann's Saloon in Deadwood , Dakota Territory (now South Dakota ).	Wild Bill Hickok
45	There have been four successful robotically operated Mars rovers.	Mars rover
46	The audit opinion is intended to provide reasonable assurance, but not absolute assurance, that the financial statements are presented fairly, in all material respects, and/or give a true and fair view in accordance with the financial reporting framework.	Financial audit
47	The purpose of an audit is provide and objective independent examination of the financial statements, which increases the value and credibility of the financial statements produced by management, thus increase user confidence in the financial statement, reduce investor risk and consequently reduce the cost of capital of the preparer of the financial statements.	Financial audit
48	Financial audits are typically performed by firms of practicing accountants who are experts in financial reporting.	Financial audit
49	Owls are a group of birds that belong to the order Strigiformes, constituting 200 extant bird of prey species .	Owl
50	With quick hands and exceptional upper-body strength, Killebrew was known not just for the frequency of his home runs but also for their distance.	Harmon Killebrew
51	His main role was to interpret the will of the gods by studying the flight of birds : whether they are flying in groups or alone, what noises they make as they fly, direction of flight and what kind of birds they are.	Augur
52	The movie was extremely profitable, earning $161.5 million in North America alone.	The Waterboy
53	It is the second largest city in Oakland County in the U.S. state of Michigan .	Farmington Hills, Michigan
54	According to folklore, if it is cloudy when a groundhog emerges from its burrow on this day, then spring will come early; if it is sunny, the groundhog will supposedly see its shadow and retreat back into its burrow, and the winter weather will continue for six more weeks.	Groundhog Day
55	A Joint Committee is a term in politics that is used to refer to a committee made up of members of both chambers of a bicameral legislature.	Joint committee
56	The 50 stars on the flag represent the 50 states of the United States of America and the 13 stripes represent the thirteen British colonies that declared independence from the Kingdom of Great Britain and became the first states in the Union.	Flag of the United States
57	India is a federal union of states comprising twenty-eight states and seven union territories .	States and territories of India
58	"Symptoms are initially mild, and then develop into severe coughing fits, which produce the namesake high-pitched ""whoop"" sound in infected babies and children when they inhale air after coughing."	Pertussis
59	The coughing stage lasts approximately six weeks before subsiding.	Pertussis
60	Galveston County is a county located in the U.S. state of Texas within the Houston–Sugar Land–Baytown metropolitan area.	Galveston County, Texas
61	Nassau	List of cities in the Bahamas
62	Freeport, Bahamas	List of cities in the Bahamas
63	Its twelve member institutions (which are primarily flagship research universities in their respective states, well-regarded academically, and with relatively large student enrollment) are located primarily in the Midwest , stretching from Nebraska in the west to Penn State in the east.	Big Ten Conference
64	Single Malt Scotch is single malt whisky made in Scotland using a pot still distillation process at a single distillery , with malted barley as the only grain ingredient.	Single malt Scotch
65	As with any Scotch whisky , a single malt Scotch must be distilled in Scotland and matured in oak casks in Scotland for at least three years (most single malts are matured longer).	Single malt Scotch
66	Composers and works include Barbara Kolb , Pauline Oliveros ' Sound Patterns for chorus (1961), Norma Beecroft 's From Dreams of Brass for chorus (1963–1964), and Nancy Van de Vate .	Sound mass
67	A very early example is the opening of Jean-Féry Rebel 's ballet Les Elémens (1737–38), where chaos is represented by a gradually cumulating orchestral cluster of all seven notes of the D minor scale (Henck 2004, pp. 52–54).	Sound mass
68	A later example is the third movement of Ruth Crawford Seeger 's String Quartet 1931 (Nonesuch H-71280) while more recently Phill Niblock 's multiple drone based music serves as an example.	Sound mass
69	"The use of ""chords approaching timbres"" begins with Debussy and Edgard Varèse often carefully scored individual instrumental parts so that they would fuse into one ensemble timbre or sound mass (Erickson 1975, pp. 18 and 21)."	Sound mass
70	"Other examples include European ""textural"" compositions of the fifties and sixties such as Krzysztof Penderecki 's Threnody to the Victims of Hiroshima (1959) and György Ligeti 's works featuring micropolyphony in works like Atmosphères (1961) and his Requiem (1963-65)."	Sound mass
71	Other composers with works using this technique include Henryk Górecki , Karel Husa , Witold Lutosławski , Kazimierz Serocki , and Steven Stucky .	Sound mass
72	Sound mass techniques also appear in the music of George Crumb (Anon. n.d.).	Sound mass
73	The object is to take at least the number of tricks that were bid before play of the hand began.	Spades
74	Australia is a continent comprising mainland Australia , Tasmania , New Guinea , Seram , possibly Timor , and neighbouring islands.	Australia (continent)
75	The causes of cardiovascular disease are diverse but atherosclerosis and/or hypertension are the most common.	Cardiovascular disease
76	The history of immigration to the United States is a continuing story of peoples from more populated continents, particularly Europe and also Africa and Asia, crossing oceans to the new land.	History of immigration to the United States
77	Starting around 1600 British and other Europeans settled primarily on the east coast .	History of immigration to the United States
78	Atlanta (, stressed , locally ) is the capital of and the most populous city in the U.S. state of Georgia , with an estimated 2011 population of 432,427.	Atlanta
79	Atlanta is the cultural and economic center of the Atlanta metropolitan area , home to 5,457,831 people and the ninth largest metropolitan area in the United States.	Atlanta
80	Commonwealth is a traditional English term for a political community founded for the common good.	Commonwealth
81	Once appointed, justices have life tenure unless they resign, retire, or are removed after impeachment .	Supreme Court of the United States
82	Conroe is the seat of Montgomery County and falls within the metropolitan area.	Conroe, Texas
83	As a database, it is a software product whose primary function is to store and retrieve data as requested by other software applications, be it those on the same computer or those running on another computer across a network (including the Internet).	Microsoft SQL Server
84	The Oklahoma blast claimed 168 lives, including 19 children under the age of 6, and injured more than 680 people.	Oklahoma City bombing
85	Winning, or even being nominated for, an ARIA award results in a lot of media attention on an artist, and usually increases recording sales several-fold – in 2005 , for example, after Ben Lee won three awards, his album Awake Is the New Sleep jumped from No. 31 to No. 5 in the ARIA Charts , its highest position.	ARIA Music Awards
86	Dredging is an excavation activity or operation usually carried out at least partly underwater, in shallow seas or fresh water areas with the purpose of gathering up bottom sediments and disposing of them at a different location.	Dredging
87	A dredger (or “dredge” as is the general usage in the Americas) is any device, machine, or vessel that is used to excavate and remove material from the bottom of a body of water.	Dredging
88	For example, a scoop attached to the end of a rope or pole by which a man can draw sediments up from the bottom of a pond is a dredger.	Dredging
89	Developing this idea further, a motorized crane equipped with a drag bucket or clamshell (grabber) that is used to scoop material from the bottom of a body of water is also a dredger.	Dredging
90	If the crane is mounted on a barge, the entire vessel is referred to as a dredger.	Dredging
91	He returned to London to settle permanently in 1791, where he died ten years later.	Benedict arnold
92	He helped lead the Philadelphia Phillies to the World Series in and won World Series championships in with the Arizona Diamondbacks and in and with the Boston Red Sox .	Curt Schilling
93	Of the thousands of enumerated ports, about 250 well-known ports are reserved by convention to identify specific service types on a host.	Port (computer networking)
94	Area code 479 is the telephone area code serving thirteen counties in northwest Arkansas , including the cities of Fort Smith , Fayetteville , Springdale , Rogers and Bentonville : the second, third, fourth, eighth and tenth-largest cities in the state, respectively.	Area code 479
95	Area code 479 serves Benton , Carroll (split with area code 870 ), Crawford , Franklin , Johnson , Logan , Madison , Polk , Pope , Scott , Sebastian , Washington and Yell Counties in Arkansas.	Area code 479
96	Arraignment is a formal reading of a criminal charging document in the presence of the defendant to inform the defendant of the charges against him or her.	Arraignment
97	While he achieved fame during his lifetime as an author, philosopher, alchemist and astronomer , composing a scientific treatise on the astrolabe for his ten year-old son Lewis, Chaucer also maintained an active career in the civil service as a bureaucrat, courtier and diplomat.	Geoffrey Chaucer
98	Chaucer is a crucial figure in developing the legitimacy of the vernacular , Middle English , at a time when the dominant literary languages in England were French and Latin.	Geoffrey Chaucer
99	"The 12-hour clock is a time convention in which the 24 hours of the day are divided into two periods: a.m. (from the Latin ante meridiem, meaning ""before midday"") and p.m. (post meridiem, ""after midday"")."	12-hour clock
100	"A 2007 review of all studies comparing health outcomes in Canada and the US in a Canadian peer-reviewed medical journal found that ""health outcomes may be superior in patients cared for in Canada versus the United States, but differences are not consistent."""	Comparison of the health care systems in Canada and the United States
101	There are currently 952 games (multiplatform: 751; exclusive: 123; console exclusive: 78) on this list as of April 2, 2013.	List of Xbox 360 games
102	Pineapples may be cultivated from a crown cutting of the fruit, possibly flowering in 20–24 months and fruiting in the following six months.	Pineapple
103	Archaeological evidence suggests that the earliest known wine production occurred in what is now the country of Georgia around 7000 BCE, with other notable sites in Greater Iran dated 4500 BCE and Armenia 4100 BCE, respectively.	History of wine
104	In 1947, when India gained independence, the state of West Bengal was formed with 14 districts, as per partition plan of the then Bengal province of British India .	List of districts of West Bengal
105	This is a list of the 221 towns and 13 cities in the U.S. state of New Hampshire .	List of cities and towns in New Hampshire
106	"Though best known for its customer relationship management (CRM) product, Salesforce has also expanded into the ""social enterprise arena"" through acquisitions."	Salesforce.com
107	During one orbit around the Sun, the Earth rotates about its own axis 366.26 times, creating 365.26 solar days , or one sidereal year .	Earth
108	Cellular respiration is the set of the metabolic reactions and processes that take place in the cells of organisms to convert biochemical energy from nutrients into adenosine triphosphate (ATP), and then release waste products.	Cellular respiration
109	Cartridge-operated extinguishers contain the expellant gas in a separate cartridge that is punctured prior to discharge, exposing the propellant to the extinguishing agent.	Fire extinguisher
110	Righteousness (also called rectitude) is an important theological concept in Christianity , Judaism , Islam , Hinduism (dharma), and Zoroastrianism .	Righteousness
111	"It is an attribute that implies that a person's actions are justified, and can have the connotation that the person has been ""judged"" or ""reckoned"" as leading a life that is pleasing to the god/s portrayed in these belief systems."	Righteousness
112	Central America consists of seven countries: Belize , Costa Rica , El Salvador , Guatemala , Honduras , Nicaragua , and Panama .	Central america
113	A steam engine is a heat engine that performs mechanical work using steam as its working fluid .	Steam engine
114	Steam engines are external combustion engines , where the working fluid is separate from the combustion products.	Steam engine
115	Tacoma (, ) is a mid-sized urban port city and the county seat of Pierce County, Washington , United States.	Tacoma, Washington
116	As the second largest city in San Diego County , Chula Vista has quickly become a destination popular to many tourists.	Chula Vista, California
117	Sir Isaac Newton (25 December 164220 March 1727) was an English physicist and mathematician who is widely regarded as one of the most influential scientists of all time and as a key figure in the scientific revolution .	Isaac Newton
118	Newton's law of universal gravitation states that every point mass in the universe attracts every other point mass with a force that is directly proportional to the product of their masses and inversely proportional to the square of the distance between them.	Newton's law of universal gravitation
119	Dim sum () refers to a style of Cantonese food prepared as small bite-sized or individual portions of food traditionally served in small steamer baskets or on small plates.	Dim sum
120	Dim sum is also well known for the unique way it is served in some restaurants, wherein fully cooked and ready-to-serve dim sum dishes are carted around the restaurant for customers to choose their orders while seated at their tables.	Dim sum
121	"Eating dim sum at a restaurant is usually known in Cantonese as going to ""drink tea"" ( yum cha , 飲茶), as tea is typically served with dim sum."	Dim sum
122	A total of 4,486 U.S. soldiers were killed in Iraq between 2003 and 2012.	Casualties of the Iraq War
123	Jupiter is the fifth planet from the Sun and the largest planet in the Solar System .	Jupiter
124	Held in Kemper Arena in Kansas City , Missouri , the convention nominated President Gerald Ford for a full term, but only after narrowly defeating a strong challenge from former California Governor Ronald Reagan .	1976 Republican National Convention
125	It started with four teams and, through a series of expansions, contractions, and relocations, the league is now composed of 30 active franchises.	National Hockey League
126	Northville is an affluent city located in and divided by Oakland and Wayne counties in the U.S. state of Michigan .	Northville, Michigan
127	Most of the city is in Oakland County, and is surrounded by the city of Novi .	Northville, Michigan
128	He has led teams to eight division championships ( 1995 , 1996 , 1997 , 2002 , 2003 , 2004 , 2007 , 2009 ), five NFC Championship Games ( 1995 , 1996 , 1997 , 2007 , 2009 ), and two Super Bowl appearances ( Super Bowl XXXI , Super Bowl XXXII ), winning one (Super Bowl XXXI).	Brett Favre
129	In the United States, to table usually means the to lay [the topic] on the table or to move for postponement of consideration; a proposal to suspend consideration of a pending motion.	Table (parliamentary procedure)
130	The four families are the original Standard-Capacity (SDSC), the High-Capacity ( SDHC ), the eXtended-Capacity ( SDXC ), and the SDIO , which combines input/output functions with data storage.	Secure Digital
131	It eats leaves, herbs, twigs and green plants like skunk cabbage and clover and in the winter it may eat bark.	Porcupine
132	Elijah J. McCoy (May 2, 1844 – October 10, 1929) was a black Canadian-American inventor and engineer, who was notable for his 57 U.S. patents , most to do with lubrication of steam engines.	Elijah McCoy
133	, Apple has 405 stores worldwide, with global sales of billion in merchandise in 2011, and they lead the United States retail market in terms of sales per unit area .	Apple Store
134	"The term ""effective"" is used because the shielding effect of negatively charged electrons prevents higher orbital electrons from experiencing the full nuclear charge by the repelling effect of inner-layer electrons."	Effective nuclear charge
135	Jerky is lean meat that has been trimmed of fat, cut into strips, and then dried to prevent spoilage.	Jerky
136	Modern manufactured jerky is normally marinated in a seasoned spice rub or liquid, and dried, dehydrated or smoked with low heat (usually under 70 °C/160 °F).	Jerky
137	.eu is the country code top-level domain (ccTLD) for the European Union (EU).	.eu
138	Meister means master in German (as in master craftsman , or as an honorific title such as Meister Eckhart ).	Meister
139	During this event a very large number of the impact craters on the Moon would have formed, and by inference on Earth , Mercury , Venus and Mars as well.	Late Heavy Bombardment
140	On October 7, 1849, at age 40, Poe died in Baltimore; the cause of his death is unknown and has been variously attributed to alcohol, brain congestion, cholera , drugs, heart disease, rabies , suicide, tuberculosis, and other agents.	Edgar allan poe
141	Tycho Brahe (14 December 154624 October 1601), born Tyge Ottesen Brahe, was a Danish nobleman known for his accurate and comprehensive astronomical and planetary observations.	Tycho Brahe
142	Tycho was well known in his lifetime as an astronomer and alchemist .	Tycho Brahe
143	Four complete seasons aired, ending on February 8, 2010.	Heroes (TV series)
144	Labor Day is an American federal holiday observed on the first Monday in September, that celebrates the economic and social contributions of workers.	Labor day
145	Dylan Thomas Sprouse and Cole Mitchell Sprouse (born August 4, 1992) are American actors.	Dylan and Cole Sprouse
146	"Life insurance is a contract between an insured (insurance policy holder) and an insurer , where the insurer promises to pay a designated beneficiary a sum of money (the ""benefits"") upon the death of the insured person."	Life insurance
147	Depending on the contract, other events such as terminal illness or critical illness may also trigger payment.	Life insurance
148	Protection policies – designed to provide a benefit in the event of specified event, typically a lump sum payment.	Life insurance
149	9 – 12 February (Vietnam)	Chinese New Year
150	The acronym originally stood for Supreme Headquarters, International Espionage, Law-Enforcement Division.	S.H.I.E.L.D.
151	As of September 30, 2012, 70 million Xbox 360 consoles have been sold worldwide.	Xbox 360
152	The bag itself was made up of different animal hide and skin (depending on what sorts of animals were in the area) and sewn together by the intestines of said animals, which were woven together tightly to make a sturdy thread-like material.	Backpack
153	Mexico (; ; ), officially the United Mexican States (), is a federal constitutional republic in North America.	Mexico
154	It is calculated as total bases divided by at bats :	Slugging percentage
155	"Saint Patrick's Day or the Feast of Saint Patrick (, ""the Day of the Festival of Patrick"") is a cultural and religious holiday celebrated on 17 March."	Saint Patrick's Day
156	Goat cheese, or chèvre (from the French word for goat), is cheese made out of the milk of goats .	Goat cheese
157	Its duties have expanded over the years, and today, according to official Federal Reserve documentation, include conducting the nation's monetary policy , supervising and regulating banking institutions, maintaining the stability of the financial system and providing financial services to depository institutions , the U.S. government, and foreign official institutions.	Federal Reserve System
158	Belize , is a country located on the northeastern coast of Central America.	Belize
159	Christian Bibles range from the sixty-six books of the Protestant canon to the eighty-one books of the Ethiopian Orthodox Tewahedo Church canon.	Books of the Bible
160	The flag was designed during the American Revolution and features 13 stars to represent the original 13 colonies .	Betsy Ross flag
161	However, using a strict definition of purring that continuous sound production must alternate between pulmonic egressive and ingressive airstream (and usually go on for minutes), Peters (2002), in an exhaustive review of the scientific literature, reached the conclusion that until then only ‘purring cats’ (Felidae) and two species of genets , Genetta tigrina, and most likely also Genetta genetta, had been documented to purr.	Purr
162	Fields is currently a meteorologist for the CBS owned and operated television stations KCBS-TV and KCAL-TV in Los Angeles, California.	Rich Fields
163	Fields can also be heard on the radio on K-EARTH 101 KRTH , KNX-AM and KFWB in Los Angeles.	Rich Fields
164	St. Elizabeth is a village in Miller County , Missouri , United States .	St. Elizabeth, Missouri
165	Wilton is a census-designated place (CDP) in Sacramento County , California , United States .	Wilton, California
166	On August 27, 1990, Vaughan was killed in a helicopter crash following a performance in East Troy, Wisconsin .	Stevie Ray Vaughan
167	Larkin is considered one of the top players of his era, winning nine Silver Slugger awards and three Gold Glove awards .	Barry Larkin
168	The causes of World War I , which began in central Europe in late July 1914 and finished in 1918, included many factors, such as the conflicts and hostility of the four decades leading up to the war.	Causes of World War I
169	Whether it was on the home front or the front-lines, for civilian or enlisted women, the World Wars started a new era for women's opportunities to contribute in war and be recognized for efforts outside of the home.	Women's roles in the World Wars
170	The Wire premiered on June 2, 2002, and ended on March 9, 2008, comprising 60 episodes over five seasons.	The Wire
171	The word promise can be used as a legal synonym for contract, although care is required as a promise may not have the full standing of a contract, as when it is an agreement without consideration .	Contract
172	ASP.NET is a server-side Web application framework designed for Web development to produce dynamic Web pages .	ASP.NET
173	Lysergic acid diethylamide, abbreviated LSD or LSD-25, also known as lysergide ( INN ) and colloquially as acid, is a semisynthetic psychedelic drug of the ergoline family, well known for its psychological effects which can include altered thinking processes, closed and open eye visuals, synesthesia , an altered sense of time and spiritual experiences , as well as for its key role in 1960s counterculture .	Lysergic acid diethylamide
174	LSD is non-addictive, is not known to cause brain damage, and has extremely low toxicity relative to dose .	Lysergic acid diethylamide
175	However, adverse psychiatric reactions such as anxiety, paranoia, and delusions are possible.	Lysergic acid diethylamide
176	Memphis had a population of 672,277 in 2011 making it the largest city in the state of Tennessee , the largest city on the Mississippi River , the third largest in the Southeastern United States , and the 20th largest in the United States.	Memphis, Tennessee
177	There are approximately 642 skeletal muscles within the typical human, and almost every muscle constitutes one part of a pair of identical bilateral muscles, found on both sides, resulting in approximately 320 pairs of muscles, as presented in this article.	List of muscles of the human body
178	Ultimately, the Spanish Crown ceded the colony to United States rule.	Seminole Wars
179	Orono is a town in Penobscot County , Maine , United States .	Orono, Maine
180	A pilot experiment, also called a pilot study, is a small scale preliminary study conducted in order to evaluate feasibility, time, cost, adverse events, and effect size (statistical variability) in an attempt to predict an appropriate sample size and improve upon the study design prior to performance of a full-scale research project.	Pilot experiment
181	The two surviving species of camel are the dromedary , or one-humped camel, which is native to the Middle East and the Horn of Africa ; and the Bactrian , or two-humped camel, which inhabits Central Asia .	Camel
182	Wind power is the conversion of wind energy into a useful form of energy, such as using wind turbines to make electrical power , windmills for mechanical power, wind pumps for water pumping or drainage , or sails to propel ships.	Wind power
183	In the context of Earth , it refers to one or all of the major divisions of the planet's World Ocean – they are, in descending order of area, the Pacific , Atlantic , Indian , Southern (Antarctic) , and Arctic Oceans.	Ocean
184	It is the county seat of Duval County , with which the city government consolidated in 1968.	Jacksonville, Florida
185	What Chilli Wants is an American reality series on VH1 starring Chilli , one-third of the Grammy Award -winning R&B trio TLC .	What Chilli Wants
186	The blue color of liquid oxygen in a dewar flask	Liquid oxygen
187	The Boise State Broncos football program represents Boise State University in college football and compete in the Football Bowl Subdivision (FBS) of Division I as a member of the Mountain West Conference .	Boise State Broncos football
188	"Mens rea is Latin for ""guilty mind""."	Mens rea
189	A drug test is a technical analysis of a biological specimen – for example urine, hair, blood, sweat, or oral fluid / saliva – to determine the presence or absence of specified parent drugs or their metabolites .	Drug test
190	Espresso has more caffeine per unit volume than most beverages, but the usual serving size is smaller—a typical 60 mL (2 US fluid ounce ) of espresso has 80 to 150 mg of caffeine, little less than the 95 to 200 mg of a standard 240 mL (8 US fluid ounces ) cup of drip-brewed coffee.	Espresso
191	"In humans, seminal fluid contains several components besides spermatozoa: proteolytic and other enzymes as well as fructose are elements of seminal fluid which promote the survival of spermatozoa and provide a medium through which they can move or ""swim""."	Semen
192	Crosby was drafted first overall by the Penguins out of the Quebec Major Junior Hockey League (QMJHL).	Sidney Crosby
193	"My two cents (2¢) and its longer version ""put my two cents in"" is an United States (US) idiomatic expression, taken from the original English idiom expression: to put in ""my two pennies worth"" or ""my tuppence worth."""	My two cents
194	Including human capital such as skills, the United Nations estimated the total wealth of the United States in 2008 to be $118 trillion.	Wealth in the United States
195	to indicate the precision of an approximation , or	Plus-minus sign
196	to indicate a value that can be of either sign.	Plus-minus sign
197	The Moon is thought to have formed nearly 4.5 billion years ago, not long after the Earth.	Moon
198	Although there have been several hypotheses for its origin in the past, the current most widely accepted explanation is that the Moon formed from the debris left over after a giant impact between Earth and a Mars -sized body.	Moon
199	As president, Reagan implemented sweeping new political and economic initiatives.	Ronald Reagan
200	Judgment as a matter of law (JMOL) is a motion made by a party, during trial, claiming the opposing party has insufficient evidence to reasonably support its case.	Judgment as a matter of law
201	Four sitting presidents have been killed: Abraham Lincoln (the 16th President), James A. Garfield (the 20th President), William McKinley (the 25th President) and John F. Kennedy (the 35th President).	List of United States presidential assassination attempts and plots
202	A major producer of natural gas , oil , and agriculture, Oklahoma relies on an economic base of aviation, energy, telecommunications, and biotechnology .	Oklahoma
203	There have been twenty-two novels and two picture books published.	Redwall
204	Hostilities began on April 12, 1861, when Confederate forces fired upon Fort Sumter , a key fort held by Union troops in South Carolina.	American Civil War
205	William Bruce Jenner (born October 28, 1949) is a former U.S. track and field athlete , motivational speaker , socialite , television personality and businessman .	Bruce Jenner
206	Some authors also define an alkali as a base that dissolves in water .	Alkali
207	Area code 217 is the North American telephone area code for much of western and central Illinois .	Area code 217
208	The 217 area includes Illinois' capital , Springfield , plus Champaign , Urbana , Decatur , Danville , Quincy , and Rantoul .	Area code 217
209	"Jameson is similar in its adherence to the single distillery principle to the single malt tradition, but Jameson blends column still spirit with Single pot still whiskey , a combination of malted barley with unmalted or ""green"" barley distilled in a pot still."	Jameson Irish Whiskey
210	"Gloria in excelsis Deo ( Latin for ""Glory to God in the highest"") is a hymn known also as the Greater Doxology (as distinguished from the ""Minor Doxology"" or Gloria Patri ) and the Angelic Hymn."	Gloria in Excelsis Deo
211	There are 12 troy ounces per troy pound, rather than the 16 ounces per pound found in the more common avoirdupois system .	Troy weight
212	The troy ounce is 480 grains, compared with the avoirdupois ounce, which is 4371⁄2 grains.	Troy weight
213	In 2004, Jennings won 74 Jeopardy!	Ken Jennings
214	Jennings is a small city in and the parish seat of Jefferson Davis Parish , Louisiana , United States , near Lake Charles .	Jennings, Louisiana
215	Nanotechnology may be able to create many new materials and devices with a vast range of applications , such as in medicine , electronics , biomaterials and energy production.	Nanotechnology
216	According to the World Health Organization (WHO), the United States spent more on health care per capita ($7,146), and more on health care as percentage of its GDP (15.2%), than any other nation in 2008.	Health care in the United States
217	Every new Lodge must be warranted or chartered by a Grand Lodge, but is subject to its direction only in enforcing the published Constitution of the jurisdiction.	Masonic Lodge
218	Black pepper (Piper nigrum) is a flowering vine in the family Piperaceae , cultivated for its fruit , which is usually dried and used as a spice and seasoning .	Black pepper
219	The President is elected by members of the National Assembly , the lower house of Parliament , and is usually the leader of the largest party, which has been the African National Congress since the first non-racial elections were held on 27 April 1994.	President of South Africa
220	The invention of the telephone is the culmination of work done by many individuals, the history of which involves a collection of claims and counterclaims.	Invention of the telephone
221	Within the first two to four months of the bombings, the acute effects killed 90,000–166,000 people in Hiroshima and 60,000–80,000 in Nagasaki, with roughly half of the deaths in each city occurring on the first day.	Atomic bombings of Hiroshima and Nagasaki
222	Holly Ridge is a town in Onslow County , North Carolina , United States .	Holly Ridge, North Carolina
223	A season is a subdivision of the year , marked by changes in weather , ecology , and hours of daylight .	Season
